URL,Image URL,Video Title,Views,time
https://www.youtube.com/watch?v=WObRrneLVRY,https://i.ytimg.com/vi/WObRrneLVRY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqLiupYz7LnumRPGXvHnYf4ncbrQ,आपको Commerce में क्या सीखने को मिलता है ?? Complete Information,10K views,1 day ago
https://www.youtube.com/watch?v=nX5ONgCdLcc,https://i.ytimg.com/vi/nX5ONgCdLcc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaa_KLfKyYbUYRsb5xf0YCp1YrlQ,How to Attempt English Board Exam ????,184K views,5 days ago
https://www.youtube.com/watch?v=AM2Dt7cNebw,https://i.ytimg.com/vi/AM2Dt7cNebw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJHWHabeJ94dcUDlDDNfvQxnUfJg,Best technique to attempt SST paper in Board exam || Class 10th,58K views,6 days ago
https://www.youtube.com/watch?v=7nMJVhey9TM,https://i.ytimg.com/vi/7nMJVhey9TM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHikOj7gH4eQNudv7c1qNbwcMWyA,Last Minute Strategy To Score More Than 98% || ICSE Boards || Class-10th,24K views,7 days ago
